imagefile,personid,confidence,width,height,left,top
10664054a8b90009c5a4db8.jpg,36,93.4205,0.04119,0.2117,0.38558,0.13253
10664054a8b90009c5a4db8.jpg,37,93.21449,0.04348,0.09122,0.26201,0.04475
10664054a8b90009c5a4db8.jpg,38,93.06631,0.0595,0.22892,0.7849,0.24441
10664054a8b90009c5a4db8.jpg,39,93.04947,0.03661,0.12909,0.11213,0.06885
10664054a8b90009c5a4db8.jpg,40,92.55277,0.06979,0.30637,0.12357,0.28916
10664054a8b90009c5a4db8.jpg,41,92.5234,0.05721,0.18244,0.40503,0.0654
10664054a8b90009c5a4db8.jpg,42,92.48721,0.05034,0.15491,0.79634,0.12565
10664054a8b90009c5a4db8.jpg,43,91.61857,0.06522,0.179,0.1865,0.11532
10664054a8b90009c5a4db8.jpg,44,91.22212,0.03318,0.11015,0.30892,0.0
10664054a8b90009c5a4db8.jpg,45,90.92158,0.07895,0.18589,0.74943,0.48193
10664054a8b90009c5a4db8.jpg,46,90.84263,0.08467,0.19793,0.0,0.30809
10664054a8b90009c5a4db8.jpg,47,90.82169,0.03318,0.09294,0.0778,0.12565
10664054a8b90009c5a4db8.jpg,48,90.53954,0.06064,0.22375,0.54577,0.13253
10664054a8b90009c5a4db8.jpg,49,90.53526,0.03432,0.0895,0.96453,0.20998
10664054a8b90009c5a4db8.jpg,50,90.04903,0.05606,0.22203,0.48741,0.15318
10664054a8b90009c5a4db8.jpg,51,89.72256,0.08352,0.22203,0.05149,0.17556
10664054a8b90009c5a4db8.jpg,52,89.09633,0.03661,0.179,0.64874,0.12909
10664054a8b90009c5a4db8.jpg,53,88.41305,0.04005,0.14458,0.57323,0.06885
10664054a8b90009c5a4db8.jpg,54,87.84606,0.05263,0.11704,0.29977,0.07573
10664054a8b90009c5a4db8.jpg,55,86.84988,0.05378,0.14802,0.47025,0.03959
10664054a8b90009c5a4db8.jpg,56,86.69277,0.07094,0.22547,0.19108,0.28399
10664054a8b90009c5a4db8.jpg,57,86.52757,0.08696,0.26162,0.46453,0.25645
10664054a8b90009c5a4db8.jpg,58,86.41545,0.02403,0.0654,0.53318,0.03614
10664054a8b90009c5a4db8.jpg,59,86.30667,0.05835,0.2031,0.71625,0.20998
10664054a8b90009c5a4db8.jpg,60,85.9947,0.03432,0.14802,0.23227,0.03959
10664054a8b90009c5a4db8.jpg,61,85.15073,0.04119,0.10155,0.3524,0.07057
10664054a8b90009c5a4db8.jpg,62,84.35749,0.02746,0.0568,0.52059,0.04475
10664054a8b90009c5a4db8.jpg,63,83.69733,0.0389,0.20998,0.16819,0.0809
10664054a8b90009c5a4db8.jpg,64,83.53957,0.03661,0.12048,0.74828,0.14114
10664054a8b90009c5a4db8.jpg,65,82.90985,0.07323,0.15835,0.11556,0.20482
10664054a8b90009c5a4db8.jpg,66,82.8442,0.03547,0.07229,0.39931,0.00172
10664054a8b90009c5a4db8.jpg,67,82.78967,0.03089,0.07057,0.33066,0.03787
10664054a8b90009c5a4db8.jpg,68,82.50787,0.0389,0.09466,0.37185,0.04303
10664054a8b90009c5a4db8.jpg,69,82.38229,0.04577,0.12392,0.27574,0.11015
10664054a8b90009c5a4db8.jpg,70,82.22173,0.03661,0.05852,0.36156,0.00861
10664054a8b90009c5a4db8.jpg,71,81.71816,0.02975,0.10499,0.19451,0.04647
10664054a8b90009c5a4db8.jpg,72,81.09292,0.03204,0.07057,0.40046,0.03614
10664054a8b90009c5a4db8.jpg,73,80.90911,0.03776,0.10155,0.44165,0.02926
10664054a8b90009c5a4db8.jpg,74,79.50552,0.04119,0.18417,0.69794,0.07057
10664054a8b90009c5a4db8.jpg,75,78.51501,0.04805,0.20654,0.50229,0.09466
10664054a8b90009c5a4db8.jpg,76,77.72302,0.04005,0.10327,0.33982,0.11532
10664054a8b90009c5a4db8.jpg,77,77.53525,0.02517,0.19277,0.53547,0.10671
10664054a8b90009c5a4db8.jpg,78,76.83218,0.03432,0.18244,0.6762,0.09466
10664054a8b90009c5a4db8.jpg,79,74.93942,0.07551,0.10327,0.17277,0.24269
10664054a8b90009c5a4db8.jpg,80,74.64153,0.04577,0.20654,0.10069,0.15146
10664054a8b90009c5a4db8.jpg,81,70.68099,0.04233,0.19793,0.44966,0.19449
2732711ba470008722b054.jpg,1,98.84856,0.37333,0.46667,0.43867,0.53156
2732711ba470008722b054.jpg,2,98.78789,0.18267,0.30489,0.348,0.38489
2732711ba470008722b054.jpg,3,98.53087,0.39467,0.38133,0.604,0.61778
2732711ba470008722b054.jpg,4,98.52212,0.36933,0.50222,0.11067,0.496
2732711ba470008722b054.jpg,5,98.05071,0.22,0.26489,0.28667,0.23556
2732711ba470008722b054.jpg,6,97.48544,0.24,0.62044,0.04933,0.37511
2732711ba470008722b054.jpg,7,97.21244,0.18533,0.55822,0.0,0.31022
2732711ba470008722b054.jpg,8,97.14867,0.14533,0.23556,0.852,0.20444
2732711ba470008722b054.jpg,9,97.03516,0.10267,0.13422,0.80267,0.16978
2732711ba470008722b054.jpg,10,95.28134,0.204,0.23467,0.51067,0.38222
2732711ba470008722b054.jpg,11,95.21572,0.26,0.28978,0.616,0.18133
2732711ba470008722b054.jpg,12,94.01253,0.25733,0.20178,0.74133,0.43111
2732711ba470008722b054.jpg,13,93.311,0.20267,0.25244,0.492,0.23644
